,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,week_no,week_start
0,1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160.0,0.0,2,1,2022,25.25157605,92.48405007,0.02035381907,34.5,291.5333334,1,2022-01-03
1,2nd week,Maharashtra,Gadchiroli,Malaria,7.0,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97,2,2022-01-10
2,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8.0,0.0,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,3,2022-01-17
3,3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7.0,0.0,11,1,2022,23.77405735,71.68373466,0.06509449409,9.0,299.08,3,2022-01-17
4,3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14.0,0.0,24,12,2021,9.98408,76.2741457,0.04125608103,33.0,303.028,3,2021-01-18
5,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8.0,0.0,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,3,2022-01-17
6,5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1.0,0.0,24,1,2022,25.8435395,80.91800397,0.09903011933,5.0,290.18,5,2022-01-31
7,6th week,Maharashtra,Gadchiroli,Malaria,1.0,1.0,9,2,2022,19.75907035,80.16228073,8.36e-05,5.0,300.06333340000003,6,2022-02-07
8,6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15.0,0.0,11,2,2022,18.7232023,82.60811828,0.0004905797777,12.0,300.5566666,6,2022-02-07
9,7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67.0,0.0,17,2,2022,23.0216238,72.5797068,7.25e-05,5.0,302.55333340000004,7,2022-02-14
10,7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89.0,0.0,17,2,2022,23.41146995,87.84499445,0.003711025774,5.0,296.68,7,2022-02-14
11,7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5.0,0.0,14,2,2022,8.4882267,76.947551,0.348763274,37.0,302.955,7,2022-02-14
12,8th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21.0,0.0,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,8,2022-02-21
13,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21.0,0.0,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,9,2022-02-28
14,9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21.0,0.0,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,9,2022-02-28
15,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359.0,0.0,5,3,2022,22.642931,88.8930579,0.0127255705,5.0,299.72,9,2022-02-28
16,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21.0,0.0,24,2,2022,9.98408,76.2741457,0.05127556617,40.0,302.8933334,9,2022-02-28
17,9th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,27.0,0.0,3,3,2022,13.3400771,77.1006208,6.49e-05,7.0,308.4633334,9,2022-02-28
18,9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21.0,0.0,23,2,2022,22.5760669,88.42006758,0.1333235523,10.0,299.22,9,2022-02-28
19,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359.0,0.0,5,3,2022,22.642931,88.8930579,0.0127255705,5.0,299.72,9,2022-02-28
20,10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,57.0,0.0,8,3,2022,20.952407,72.9323831,0.0001374485643,4.0,307.9233334,10,2022-03-07
21,10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14.0,0.0,6,3,2022,23.2232877,72.6492267,7.1e-05,5.0,307.38,10,2022-03-07
22,10th week,Gujarat,Anand,Acute Gastroenteritis,24.0,0.0,5,3,2022,22.5584995,72.9625629,5.63e-05,5.0,307.34000000000003,10,2022-03-07
23,10th week,Telangana,Nalgonda,Dengue,6.0,0.0,11,3,2022,16.8579636,79.21749353,0.0001335467262,8.0,309.556,10,2022-03-07
